date,movieCd,movieNm,showCnt,scrnCnt,openDt,audiAcc
2019-04-01,20176103,돈,5258,1082,2019-03-20,2748519
2019-04-01,20185352,어스,4853,1028,2019-03-27,1009675
2019-04-01,20183773,장난스런 키스,1257,491,2019-03-27,193705
2019-04-01,20181877,캡틴 마블,1718,557,2019-03-06,5560021
2019-04-01,20196025,덤보,1504,565,2019-03-27,224534
2019-04-01,20197846,악질경찰,461,305,2019-03-20,257540
2019-04-01,20180825,미성년,9,9,2019-04-11,3090
2019-04-01,20198146,콜레트,271,161,2019-03-27,25396
2019-04-01,20166301,썬키스 패밀리,561,349,2019-03-27,28340
2019-04-01,20197987,더 길티,245,106,2019-03-27,24030
2019-04-02,20176103,돈,5189,1082,2019-03-20,2810140
2019-04-02,20185352,어스,4714,1015,2019-03-27,1064068
2019-04-02,20183773,장난스런 키스,1256,503,2019-03-27,209869
2019-04-02,20181877,캡틴 마블,1692,562,2019-03-06,5575218
2019-04-02,20196025,덤보,1381,547,2019-03-27,233494
2019-04-02,20197092,로망,24,24,2019-04-03,11150
2019-04-02,20198146,콜레트,269,155,2019-03-27,28655
2019-04-02,20197846,악질경찰,440,291,2019-03-20,260136
2019-04-02,20196244,샤잠!,9,9,2019-04-03,3187
2019-04-02,20166301,썬키스 패밀리,547,344,2019-03-27,30561
2019-04-03,20196244,샤잠!,5199,1132,2019-04-03,89996
2019-04-03,20183096,생일,3735,852,2019-04-03,55927
2019-04-03,20176103,돈,2595,668,2019-03-20,2851405
2019-04-03,20185352,어스,2232,612,2019-03-27,1101819
2019-04-03,20183773,장난스런 키스,495,294,2019-03-27,220364
2019-04-03,20197092,로망,916,405,2019-04-03,19964
2019-04-03,20181877,캡틴 마블,667,342,2019-03-06,5582899
2019-04-03,20196025,덤보,355,257,2019-03-27,236357
2019-04-03,20198104,바이스,11,11,2019-04-11,5515
2019-04-03,20197483,1919 유관순,16,9,2019-03-14,50515
2019-04-04,20196244,샤잠!,5072,1141,2019-04-03,145803
2019-04-04,20183096,생일,3537,847,2019-04-03,99444
2019-04-04,20176103,돈,2585,686,2019-03-20,2887307
2019-04-04,20185352,어스,2162,621,2019-03-27,1133912
2019-04-04,20183773,장난스런 키스,570,342,2019-03-27,230090
2019-04-04,20181877,캡틴 마블,643,340,2019-03-06,5590569
2019-04-04,20197092,로망,881,402,2019-04-03,26313
2019-04-04,20196025,덤보,327,248,2019-03-27,239393
2019-04-04,20198104,바이스,12,12,2019-04-11,7310
2019-04-04,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,48,31,2019-04-04,1572
2019-04-05,20196244,샤잠!,5152,1148,2019-04-03,216479
2019-04-05,20183096,생일,3575,862,2019-04-03,156757
2019-04-05,20176103,돈,2719,709,2019-03-20,2934965
2019-04-05,20185352,어스,2293,658,2019-03-27,1181504
2019-04-05,20183773,장난스런 키스,701,383,2019-03-27,246555
2019-04-05,20181877,캡틴 마블,703,371,2019-03-06,5601607
2019-04-05,20197092,로망,775,383,2019-04-03,31978
2019-04-05,20196025,덤보,361,268,2019-03-27,242773
2019-04-05,20198104,바이스,12,12,2019-04-11,9652
2019-04-05,20198043,아픈 만큼 사랑한다,145,115,2019-04-03,4609
2019-04-06,20196244,샤잠!,5252,1125,2019-04-03,376179
2019-04-06,20183096,생일,3652,856,2019-04-03,270086
2019-04-06,20176103,돈,2903,747,2019-03-20,3034628
2019-04-06,20185352,어스,2464,712,2019-03-27,1276901
2019-04-06,20183773,장난스런 키스,899,433,2019-03-27,283818
2019-04-06,20196025,덤보,876,509,2019-03-27,269816
2019-04-06,20181877,캡틴 마블,780,407,2019-03-06,5628256
2019-04-06,20197092,로망,639,393,2019-04-03,39390
2019-04-06,20198023,고릴라와 슈퍼레이스,203,183,2019-04-03,3419
2019-04-06,20198146,콜레트,74,45,2019-03-27,33733
2019-04-07,20196244,샤잠!,4986,1098,2019-04-03,500650
2019-04-07,20183096,생일,3580,856,2019-04-03,375445
2019-04-07,20176103,돈,2823,744,2019-03-20,3117350
2019-04-07,20185352,어스,2392,694,2019-03-27,1344562
2019-04-07,20183773,장난스런 키스,948,438,2019-03-27,318784
2019-04-07,20196025,덤보,912,520,2019-03-27,296253
2019-04-07,20181877,캡틴 마블,797,421,2019-03-06,5649943
2019-04-07,20197092,로망,634,399,2019-04-03,46938
2019-04-07,20198023,고릴라와 슈퍼레이스,200,176,2019-04-03,5158
2019-04-07,20198146,콜레트,70,45,2019-03-27,35223
2019-04-08,20183096,생일,3488,824,2019-04-03,414584
2019-04-08,20196244,샤잠!,4202,1005,2019-04-03,529505
2019-04-08,20176103,돈,2682,666,2019-03-20,3144521
2019-04-08,20185352,어스,2139,621,2019-03-27,1363682
2019-04-08,20183773,장난스런 키스,836,374,2019-03-27,328038
2019-04-08,20181877,캡틴 마블,784,374,2019-03-06,5656785
2019-04-08,20197092,로망,705,395,2019-04-03,51869
2019-04-08,20196025,덤보,323,238,2019-03-27,298095
2019-04-08,20188393,"다시, 봄",4,4,2019-04-17,1476
2019-04-08,20198146,콜레트,77,51,2019-03-27,36252
2019-04-09,20183096,생일,3546,856,2019-04-03,454816
2019-04-09,20176103,돈,2645,705,2019-03-20,3169423
2019-04-09,20196244,샤잠!,3905,1000,2019-04-03,553399
2019-04-09,20185352,어스,2040,614,2019-03-27,1379883
2019-04-09,20183773,장난스런 키스,818,373,2019-03-27,335770
2019-04-09,20181877,캡틴 마블,778,383,2019-03-06,5663307
2019-04-09,20197092,로망,709,405,2019-04-03,57212
2019-04-09,20196025,덤보,335,242,2019-03-27,300095
2019-04-09,20197483,1919 유관순,17,11,2019-03-14,53153
2019-04-09,20198104,바이스,18,18,2019-04-11,10605
2019-04-10,20183096,생일,3063,791,2019-04-03,498167
2019-04-10,20185406,헬보이,2164,585,2019-04-10,36414
2019-04-10,20176103,돈,2206,589,2019-03-20,3194286
2019-04-10,20197423,공포의 묘지,2013,564,2019-04-10,19512
2019-04-10,20196244,샤잠!,2275,686,2019-04-03,569214
2019-04-10,20185352,어스,1412,483,2019-03-27,1393651
2019-04-10,20198403,파이브 피트,1363,445,2019-04-10,17913
2019-04-10,20183773,장난스런 키스,705,334,2019-03-27,344983
2019-04-10,20181877,캡틴 마블,440,231,2019-03-06,5667685
2019-04-10,20197092,로망,226,149,2019-04-03,60426
2019-04-11,20183096,생일,2526,717,2019-04-03,530691
2019-04-11,20185406,헬보이,2142,658,2019-04-10,64661
2019-04-11,20180825,미성년,2499,586,2019-04-11,27610
2019-04-11,20176103,돈,1445,525,2019-03-20,3209315
2019-04-11,20197423,공포의 묘지,1655,529,2019-04-10,32202
2019-04-11,20198104,바이스,938,227,2019-04-11,21621
2019-04-11,20198844,아이 엠 마더,722,169,2019-04-11,9162
2019-04-11,20196244,샤잠!,1530,554,2019-04-03,578185
2019-04-11,20185352,어스,891,410,2019-03-27,1402122
2019-04-11,20198403,파이브 피트,1146,417,2019-04-10,25911
2019-04-12,20183096,생일,2751,773,2019-04-03,577613
2019-04-12,20185406,헬보이,2285,680,2019-04-10,98479
2019-04-12,20180825,미성년,2639,601,2019-04-11,56428
2019-04-12,20176103,돈,1482,536,2019-03-20,3229304
2019-04-12,20197423,공포의 묘지,1626,548,2019-04-10,47179
