,showAcc,scrnAcc,sameOpenDtCnt,audiAcc
0,0,0,2,2748519
1,11799,2655,6,1009675
2,3008,1288,6,193705
3,0,0,1,5560021
4,3240,1369,6,224534
5,0,0,2,257540
6,18529,4822,3,3090
7,540,316,6,25396
8,1108,693,6,28340
9,245,106,6,24030
10,0,0,2,2810140
11,11799,2655,6,1064068
12,3008,1288,6,209869
13,0,0,1,5575218
14,3240,1369,6,233494
15,5509,2955,5,11150
16,540,316,6,28655
17,0,0,2,260136
18,36052,8344,5,3187
19,1108,693,6,30561
20,36052,8344,5,89996
21,28176,6744,5,55927
22,0,0,2,2851405
23,11799,2655,6,1101819
24,3008,1288,6,220364
25,5509,2955,5,19964
26,0,0,1,5582899
27,3240,1369,6,236357
28,6560,1820,3,5515
29,0,0,1,50515
30,36052,8344,5,145803
31,28176,6744,5,99444
32,0,0,2,2887307
33,11799,2655,6,1133912
34,3008,1288,6,230090
35,0,0,1,5590569
36,5509,2955,5,26313
37,3240,1369,6,239393
38,6560,1820,3,7310
39,48,31,1,1572
40,36052,8344,5,216479
41,28176,6744,5,156757
42,0,0,2,2934965
43,11799,2655,6,1181504
44,3008,1288,6,246555
45,0,0,1,5601607
46,5509,2955,5,31978
47,3240,1369,6,242773
48,6560,1820,3,9652
49,145,115,5,4609
50,36052,8344,5,376179
51,28176,6744,5,270086
52,0,0,2,3034628
53,11799,2655,6,1276901
54,3008,1288,6,283818
55,3240,1369,6,269816
56,0,0,1,5628256
57,5509,2955,5,39390
58,403,359,5,3419
59,540,316,6,33733
60,36052,8344,5,500650
61,28176,6744,5,375445
62,0,0,2,3117350
63,11799,2655,6,1344562
64,3008,1288,6,318784
65,3240,1369,6,296253
66,0,0,1,5649943
67,5509,2955,5,46938
68,403,359,5,5158
69,540,316,6,35223
70,28176,6744,5,414584
71,36052,8344,5,529505
72,0,0,2,3144521
73,11799,2655,6,1363682
74,3008,1288,6,328038
75,0,0,1,5656785
76,5509,2955,5,51869
77,3240,1369,6,298095
78,826,364,3,1476
79,540,316,6,36252
80,28176,6744,5,454816
81,0,0,2,3169423
82,36052,8344,5,553399
83,11799,2655,6,1379883
84,3008,1288,6,335770
85,0,0,1,5663307
86,5509,2955,5,57212
87,3240,1369,6,300095
88,0,0,1,53153
89,6560,1820,3,10605
90,28176,6744,5,498167
91,18089,5154,3,36414
92,0,0,2,3194286
93,9278,3097,3,19512
94,36052,8344,5,569214
95,11799,2655,6,1393651
96,6591,2605,3,17913
97,3008,1288,6,344983
98,0,0,1,5667685
99,5509,2955,5,60426
100,28176,6744,5,530691
101,18089,5154,3,64661
102,18529,4822,3,27610
103,0,0,2,3209315
104,9278,3097,3,32202
105,6560,1820,3,21621
